x__0,x__1,x__2,label_id,label_id'__0,label_id'__1,label_id'__2,label_id'__3,label_id'__4
-0.064000,0.732000,-0.724000,4,-6.1741176,-2.0095549,-1.7997209,-5.281989,4.523999
0.956000,0.024000,0.208000,2,-3.3931928,-6.973152,4.3379326,-2.23945,-2.2436476
-0.060000,0.732000,-0.728000,4,-6.1812124,-2.0412247,-1.7800975,-5.3123674,4.547034
0.952000,0.024000,0.212000,2,-3.3848758,-6.9503117,4.314412,-2.2047906,-2.2620914
-0.068000,0.728000,-0.732000,4,-6.138476,-1.99752,-1.8135344,-5.3122945,4.548622
-0.064000,0.736000,-0.732000,4,-6.1961217,-2.0269413,-1.8003937,-5.3209324,4.5693445
-1.088000,0.004000,0.000000,1,-2.3280892,4.542917,-4.2714043,-1.4674549,-1.8461118
-0.064000,0.732000,-0.732000,4,-6.170804,-2.0243921,-1.7991132,-5.320669,4.5617104
0.012000,0.000000,0.996000,3,-2.1605844,-2.42864,-1.3437711,4.3850656,-5.1986523
-1.088000,0.004000,0.004000,1,-2.3349767,4.544502,-4.2715044,-1.4596715,-1.8514137
0.952000,0.024000,0.212000,2,-3.3848758,-6.9503117,4.314412,-2.2047906,-2.2620914
-0.052000,-1.032000,-0.028000,0,4.6982145,-2.014141,-1.3491335,-1.3447555,-2.119873
-1.092000,0.008000,0.004000,1,-2.3586898,4.564612,-4.282216,-1.4568558,-1.8536265
-0.064000,0.728000,-0.724000,4,-6.1488,-2.0070052,-1.7984401,-5.2817254,4.516366
0.956000,0.032000,0.204000,2,-3.4390306,-6.983253,4.343542,-2.2665975,-2.207122
0.952000,0.032000,0.212000,2,-3.4305415,-6.9548182,4.3220367,-2.206887,-2.2491422
-1.084000,0.008000,-0.008000,1,-2.3331528,4.5231113,-4.2801137,-1.4821405,-1.8142952
0.016000,0.004000,1.000000,3,-2.1716871,-2.4483151,-1.3398495,4.404284,-5.215011
0.960000,0.024000,0.208000,2,-3.4035578,-6.99399,4.3585052,-2.249486,-2.2441807
0.960000,0.020000,0.208000,2,-3.3813355,-6.9927235,4.3533297,-2.2485547,-2.2493923
0.008000,0.008000,0.996000,3,-2.1842198,-2.4008946,-1.3583965,4.3763595,-5.199999
-1.088000,0.004000,0.000000,1,-2.3280892,4.542917,-4.2714043,-1.4674549,-1.8461118
0.016000,0.008000,1.000000,3,-2.1805725,-2.4448583,-1.3418381,4.403499,-5.2158704
-1.084000,0.000000,-0.004000,1,-2.3013957,4.5177903,-4.2625628,-1.480228,-1.8352107
-0.052000,-1.028000,-0.032000,0,4.687061,-2.002566,-1.349471,-1.3562444,-2.1105075
0.008000,0.008000,1.004000,3,-2.1983447,-2.4158106,-1.3626356,4.400982,-5.2248755
-1.084000,0.004000,0.000000,1,-2.3200474,4.5304813,-4.265291,-1.4658067,-1.8409151
-0.056000,-1.028000,-0.024000,0,4.6712794,-1.9998312,-1.3522851,-1.3332865,-2.1272817
0.956000,0.028000,0.212000,2,-3.4174638,-6.9724174,4.3401594,-2.215757,-2.2574127
0.012000,0.012000,0.988000,3,-2.1738617,-2.4037418,-1.3461951,4.3571973,-5.1758604
0.956000,0.028000,0.212000,2,-3.4174638,-6.9724174,4.3401594,-2.215757,-2.2574127
-0.056000,-1.036000,-0.036000,0,4.7036486,-1.9964099,-1.3624772,-1.377069,-2.1168249
0.012000,0.012000,0.996000,3,-2.1881804,-2.4160218,-1.3528295,4.382995,-5.202138
-0.064000,0.732000,-0.724000,4,-6.1741176,-2.0095549,-1.7997209,-5.281989,4.523999
-0.056000,0.732000,-0.736000,4,-6.1865134,-2.0801277,-1.7591405,-5.3622537,4.588707
0.016000,0.008000,0.996000,3,-2.1735604,-2.4388509,-1.3384475,4.3904204,-5.202747
-0.064000,0.732000,-0.736000,4,-6.1691475,-2.0318108,-1.798809,-5.3400087,4.5805655
-0.068000,0.740000,-0.724000,4,-6.2186184,-1.9905052,-1.8176222,-5.2754393,4.533522
0.012000,0.004000,1.004000,3,-2.1840124,-2.438774,-1.352047,4.409357,-5.2249484
-1.088000,0.008000,0.004000,1,-2.3497205,4.5529594,-4.275711,-1.4546759,-1.8491818
-0.064000,0.736000,-0.728000,4,-6.197779,-2.019523,-1.8006978,-5.3015924,4.550489
-0.064000,0.732000,-0.724000,4,-6.1741176,-2.0095549,-1.7997209,-5.281989,4.523999
0.960000,0.032000,0.212000,2,-3.45146,-6.9967995,4.3627586,-2.2269945,-2.2498171
-1.092000,0.000000,0.004000,1,-2.3296008,4.54705,-4.274697,-1.4669235,-1.8572628
0.012000,0.000000,0.996000,3,-2.1605844,-2.42864,-1.3437711,4.3850656,-5.1986523
-0.060000,0.732000,-0.724000,4,-6.182842,-2.0337682,-1.7801913,-5.2930617,4.5281343
-0.072000,0.728000,-0.728000,4,-6.137435,-1.9666371,-1.8277541,-5.289931,4.5228834
-0.052000,-1.032000,-0.028000,0,4.6982145,-2.014141,-1.3491335,-1.3447555,-2.119873
-0.052000,-1.032000,-0.028000,0,4.6982145,-2.014141,-1.3491335,-1.3447555,-2.119873
-0.056000,-1.032000,-0.028000,0,4.693327,-2.0035043,-1.351114,-1.3523309,-2.119436
0.020000,0.008000,0.996000,3,-2.1761003,-2.4544296,-1.3224232,4.387161,-5.2086043
-1.084000,0.000000,0.004000,1,-2.3114734,4.524049,-4.261265,-1.4625278,-1.8487633
0.008000,0.004000,0.988000,3,-2.1607919,-2.390761,-1.3501205,4.352068,-5.1737022
-0.068000,0.736000,-0.732000,4,-6.1892643,-2.0026488,-1.8160329,-5.3130026,4.563839
