x__0,x__1,x__2,label_id,label_id'__0,label_id'__1,label_id'__2,label_id'__3,label_id'__4
-0.048000,-1.036000,-0.036000,0,4.682944,-2.063252,-1.3991146,-1.3627985,-2.1852388
0.956000,0.028000,0.200000,2,-3.5963674,-6.9220996,4.1192613,-2.377104,-2.3497367
-0.064000,0.728000,-0.720000,4,-6.1003337,-2.1112504,-1.9523499,-5.091269,4.4445243
-1.088000,0.012000,0.004000,1,-2.3321104,4.6077156,-4.2532125,-1.4243274,-1.8529401
-0.056000,0.728000,-0.724000,4,-6.116843,-2.1656828,-1.9132726,-5.13279,4.470549
0.016000,0.008000,0.996000,3,-2.2759924,-2.535167,-1.4902973,4.277957,-5.223211
-0.052000,-1.032000,-0.024000,0,4.6719027,-2.0690045,-1.3964837,-1.315542,-2.1957235
-1.080000,0.008000,0.000000,1,-2.2961946,4.5714345,-4.237262,-1.4340476,-1.8387548
-0.056000,-1.024000,-0.028000,0,4.6476016,-2.0325203,-1.4034657,-1.3280746,-2.1837106
-0.064000,0.740000,-0.728000,4,-6.171464,-2.1345034,-1.9565334,-5.129876,4.5049663
0.004000,0.004000,0.996000,3,-2.2816894,-2.4846005,-1.5097852,4.2562695,-5.216511
-0.052000,-1.028000,-0.032000,0,4.667196,-2.048507,-1.398138,-1.3418893,-2.1773481
-1.092000,0.004000,0.004000,1,-2.3107488,4.604255,-4.2486863,-1.436293,-1.8639524
0.012000,0.004000,0.996000,3,-2.2719195,-2.52142,-1.4976642,4.271745,-5.2195888
-0.048000,-1.032000,-0.028000,0,4.669804,-2.0729377,-1.3917781,-1.3314738,-2.1934319
-0.068000,0.732000,-0.728000,4,-6.11681,-2.105417,-1.9676108,-5.124827,4.483588
-0.068000,0.732000,-0.732000,4,-6.114615,-2.1125507,-1.9676615,-5.1434283,4.502416
0.012000,0.004000,0.996000,3,-2.2719195,-2.52142,-1.4976642,4.271745,-5.2195888
0.960000,0.024000,0.208000,2,-3.587051,-6.9320126,4.134706,-2.338326,-2.3993137
0.012000,0.004000,0.996000,3,-2.2719195,-2.52142,-1.4976642,4.271745,-5.2195888
0.960000,0.020000,0.212000,2,-3.5675187,-6.928521,4.1263165,-2.313722,-2.423168
-1.084000,0.008000,0.000000,1,-2.3040204,4.584073,-4.243274,-1.4357775,-1.8439062
0.960000,0.028000,0.204000,2,-3.6086707,-6.938815,4.1382647,-2.363413,-2.371253
0.008000,0.004000,0.992000,3,-2.2695088,-2.4956079,-1.5011581,4.252276,-5.2059455
0.008000,0.008000,0.996000,3,-2.2863083,-2.4984603,-1.5075235,4.263915,-5.219541
0.960000,0.028000,0.208000,2,-3.6099901,-6.9352074,4.137487,-2.3392837,-2.3920822
-0.056000,-1.036000,-0.032000,0,4.6841655,-2.0482955,-1.4079847,-1.3499731,-2.1879683
-0.060000,0.732000,-0.732000,4,-6.1289353,-2.1595325,-1.934692,-5.1596103,4.512136
-0.056000,-1.032000,-0.028000,0,4.6739864,-2.0485682,-1.4018888,-1.3366784,-2.1871388
0.008000,0.008000,0.996000,3,-2.2863083,-2.4984603,-1.5075235,4.263915,-5.219541
-0.068000,0.728000,-0.724000,4,-6.0939174,-2.095257,-1.9658172,-5.10597,4.4570527
-0.064000,0.732000,-0.728000,4,-6.1215777,-2.1286583,-1.953949,-5.1294065,4.489697
-0.056000,0.736000,-0.724000,4,-6.166599,-2.1713521,-1.9148688,-5.133419,4.4856157
0.956000,0.024000,0.204000,2,-3.574325,-6.914626,4.1166806,-2.351919,-2.3786488
-0.060000,0.732000,-0.728000,4,-6.130788,-2.1522942,-1.9345669,-5.140654,4.4933734
-0.064000,0.736000,-0.724000,4,-6.148439,-2.124431,-1.9556097,-5.110605,4.4786696
-1.088000,0.004000,0.000000,1,-2.2950904,4.5909047,-4.24209,-1.4415585,-1.8544064
0.008000,0.004000,0.996000,3,-2.2768042,-2.5030103,-1.5037245,4.264007,-5.21805
-1.084000,0.004000,0.000000,1,-2.2872648,4.5782666,-4.236078,-1.4398288,-1.849255
0.012000,0.000000,0.992000,3,-2.25512,-2.5185673,-1.4912988,4.260106,-5.2059937
-0.060000,0.732000,-0.732000,4,-6.1289353,-2.1595325,-1.934692,-5.1596103,4.512136
0.964000,0.028000,0.212000,2,-3.6223207,-6.951967,4.156427,-2.3255994,-2.413544
0.012000,0.004000,0.996000,3,-2.2719195,-2.52142,-1.4976642,4.271745,-5.2195888
0.016000,0.008000,0.996000,3,-2.2759924,-2.535167,-1.4902973,4.277957,-5.223211
-0.064000,0.728000,-0.716000,4,-6.1022143,-2.1040514,-1.9524399,-5.0722775,4.4258056
